"Chr","bp","gene","cell_type","gene_name","gChr","gbp","cell_typeCode","bp_flat","gbp_flat"
"1",10001559,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10001559,69591991
"1",10007263,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10007263,69591991
"1",10007936,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10007936,69591991
"1",10012964,"9399","Root cap lateral","AT1G64590","1",23993533,"11",10012964,23993533
"1",10013344,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10013344,69591991
"1",10013973,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10013973,69591991
"1",10016183,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10016183,69591991
"1",10018554,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10018554,69591991
"1",10023160,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10023160,69591991
"1",10029444,"12198","Protoxylem","AT2G47015","2",19319780,"15",10029444,49741838
"1",10033951,"11744","Phloem pole pericycle","AT1G02070","1",370257,"6",10033951,370257
"1",10034541,"12016","Cortex","AT1G74820","1",28111882,"1",10034541,28111882
"1",10040685,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10040685,69591991
"1",10043118,"985","Epidermis meristem","AT1G28580","1",10044337,"12",10043118,10044337
"1",10044242,"11744","Phloem pole pericycle","AT1G02070","1",370257,"6",10044242,370257
"1",10044242,"15296","Hair cells","AT4G38190","4",17909919,"2",10044242,91476225
"1",10055933,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10055933,69591991
"1",10056638,"2844","Cortex","AT2G27300","2",11680417,"1",10056638,42102475
"1",10061907,"9504","Hair cells","AT1G73330","1",27568718,"2",10061907,27568718
"1",10092903,"2889","Procambium","AT2G28560","2",12236615,"13",10092903,42658673
"1",10110183,"11824","Cortex","AT1G16220","1",5548653,"1",10110183,5548653
"1",10116266,"14286","Root cap tip","AT4G19095","4",10452889,"9",10116266,84019195
"1",10146738,"834","Root cap early","AT1G23120","1",8198720,"10",10146738,8198720
"1",10150833,"5595","Phloem pole pericycle","AT4G07960","4",4802341,"6",10150833,78368647
"1",10181269,"11650","Non-hair cells","AT5G61280","5",24643625,"4",10181269,116758635
"1",10182982,"995","Hair cells","AT1G29160","1",10183797,"2",10182982,10183797
"1",10182982,"995","Non-hair cells","AT1G29160","1",10183797,"4",10182982,10183797
"1",10185733,"995","Hair cells","AT1G29160","1",10183797,"2",10185733,10183797
"1",10185733,"995","Non-hair cells","AT1G29160","1",10183797,"4",10185733,10183797
"1",10187528,"995","Hair cells","AT1G29160","1",10183797,"2",10187528,10183797
"1",10187528,"995","Non-hair cells","AT1G29160","1",10183797,"4",10187528,10183797
"1",10212255,"15296","Hair cells","AT4G38190","4",17909919,"2",10212255,91476225
"1",10214058,"12953","Xylem pole pericycle","AT5G09320","5",2888655,"8",10214058,95003665
"1",10214679,"5802","Root cap lateral","AT4G15450","4",8839414,"11",10214679,82405720
"1",10219469,"12199","Xylem pole pericycle","AT2G47050","2",19331685,"8",10219469,49753743
"1",10221861,"10077","Xylem","AT2G47870","2",19603339,"7",10221861,50025397
"1",10226509,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10226509,69591991
"1",10228551,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10228551,69591991
"1",10244395,"5234","Protoxylem","AT3G57940","3",21449298,"15",10244395,71556422
"1",1026014,"12323","Non-hair cells","AT3G29340","3",11259587,"4",1026014,61366711
"1",10288019,"10306","Procambium","AT3G21260","3",7464020,"13",10288019,57571144
"1",10291635,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10291635,69591991
"1",10294079,"1321","Protoxylem","AT1G50520","1",18719378,"15",10294079,18719378
"1",10294978,"1321","Protoxylem","AT1G50520","1",18719378,"15",10294978,18719378
"1",10297019,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10297019,69591991
"1",10301748,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10301748,69591991
"1",10304299,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10304299,79239582
"1",10308100,"6716","Hair cells","AT4G39790","4",18462190,"2",10308100,92028496
"1",10315928,"12013","Root cap early","AT1G73810","1",27752400,"10",10315928,27752400
"1",10315928,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10315928,69591991
"1",10317005,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10317005,69591991
"1",1031884,"12323","Non-hair cells","AT3G29340","3",11259587,"4",1031884,61366711
"1",10327577,"12445","Xylem pole pericycle","AT4G14225","4",8198777,"8",10327577,81765083
"1",10327577,"13028","Xylem pole pericycle","AT1G05770","1",1725388,"8",10327577,1725388
"1",10353865,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10353865,79239582
"1",10361457,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10361457,79239582
"1",10369470,"8832","Cortex","AT1G01453","1",166589,"1",10369470,166589
"1",10371498,"14115","Hair cells","AT2G20380","2",8794818,"2",10371498,39216876
